text,label,label_numeric
The cinematography was breathtaking and the performances were deeply moving.,1,1
An underdeveloped script that failed to engage the audience.,0,0
"While the visuals were impressive, the story lacked clarity.",mixed,-1
A thoughtful and inspiring story with excellent pacing.,1,1
The plot felt disorganized and the characters lacked depth.,0,0
"Some scenes were powerful, though others dragged unnecessarily.",mixed,-1
The soundtrack enhanced every emotional moment beautifully.,1,1
The plot felt disorganized and the characters lacked depth.,0,0
"While the visuals were impressive, the story lacked clarity.",mixed,-1
A thoughtful and inspiring story with excellent pacing.,1,1
The film struggled with inconsistent tone and poor editing.,0,0
"Some scenes were powerful, though others dragged unnecessarily.",mixed,-1
An intelligent script with memorable dialogue and nuanced acting.,1,1
The plot felt disorganized and the characters lacked depth.,0,0
"Some scenes were powerful, though others dragged unnecessarily.",mixed,-1
A compelling narrative supported by strong character development.,1,1
The plot felt disorganized and the characters lacked depth.,0,0
The concept was creative but execution felt uneven.,mixed,-1
A thoughtful and inspiring story with excellent pacing.,1,1
An underdeveloped script that failed to engage the audience.,0,0
"Some scenes were powerful, though others dragged unnecessarily.",mixed,-1
A compelling narrative supported by strong character development.,1,1
The plot felt disorganized and the characters lacked depth.,0,0
"While the visuals were impressive, the story lacked clarity.",mixed,-1
The cinematography was breathtaking and the performances were deeply moving.,1,1
The pacing was slow and the dialogue was unconvincing.,0,0
"Some scenes were powerful, though others dragged unnecessarily.",mixed,-1
The soundtrack enhanced every emotional moment beautifully.,1,1
An underdeveloped script that failed to engage the audience.,0,0
The concept was creative but execution felt uneven.,mixed,-1
The soundtrack enhanced every emotional moment beautifully.,1,1
The pacing was slow and the dialogue was unconvincing.,0,0
"While the visuals were impressive, the story lacked clarity.",mixed,-1
A thoughtful and inspiring story with excellent pacing.,1,1
An underdeveloped script that failed to engage the audience.,0,0
The concept was creative but execution felt uneven.,mixed,-1
A thoughtful and inspiring story with excellent pacing.,1,1
The pacing was slow and the dialogue was unconvincing.,0,0
Strong acting could not fully compensate for structural issues.,mixed,-1
A thoughtful and inspiring story with excellent pacing.,1,1
The pacing was slow and the dialogue was unconvincing.,0,0
Strong acting could not fully compensate for structural issues.,mixed,-1
A thoughtful and inspiring story with excellent pacing.,1,1
The plot felt disorganized and the characters lacked depth.,0,0
"While the visuals were impressive, the story lacked clarity.",mixed,-1
A compelling narrative supported by strong character development.,1,1
An underdeveloped script that failed to engage the audience.,0,0
"Some scenes were powerful, though others dragged unnecessarily.",mixed,-1
An intelligent script with memorable dialogue and nuanced acting.,1,1
The film struggled with inconsistent tone and poor editing.,0,0
"While the visuals were impressive, the story lacked clarity.",mixed,-1
A compelling narrative supported by strong character development.,1,1
An underdeveloped script that failed to engage the audience.,0,0
Strong acting could not fully compensate for structural issues.,mixed,-1
The soundtrack enhanced every emotional moment beautifully.,1,1
The pacing was slow and the dialogue was unconvincing.,0,0
Strong acting could not fully compensate for structural issues.,mixed,-1
An intelligent script with memorable dialogue and nuanced acting.,1,1
The plot felt disorganized and the characters lacked depth.,0,0
Strong acting could not fully compensate for structural issues.,mixed,-1
